ID.prot	logFC
A0A8L2QL19	-15994.6125
P10719	15727.1125
P85108	12491.6250000001
A0A8I5ZXA2	-11880.7
A0A8I6AGZ0	-11650.1375
O88989	10160.1625
P07340	-9430.5625
A0A8L2UMS1	8470.21250000001
P04764	7921.87500000001
A0A8I6ANE0	7640.07499999998
P0DP31	-7605.3375
M0R9X8	-7474.60000000001
A0A8L2QLW7	7298.17500000004
G3V6S0	-7170.41249999999
P62944	-7114.825
P31596	-6876.2625
A0A8L2R1E5	-6599.675
A0A8I6GKE5	-6498.06250000001
Q9Z2L0	6206.35
A0A0G2K1R5	-5949.325
P63329	-5829.96250000001
G3V7C6	5818.47499999999
P09951	5787.13750000001
P62260	-5628.34999999999
Q4QRB4	5477.01250000003
P60203	-5150.98749999999
P34058	-5096.875
G3V7L8	5047.35
P61765	5033.6625
A0A0G2K654	4962.9875
P07825	-4940.2
A0A8I5ZR52	4930.175
P04905	-4800.05
P11275	4715.51250000001
P10111	4696.575
Q6AYZ1	4607.47499999998
P31000	4549.725
A0A8I5ZLH6	4492.74999999999
Q6P9Y4	-4489.025
D3ZAI6	-4472.875
F8WFM2	-4398.0625
P04264	-4326.2875
Q5XIF6	-4317.83750000001
P10860	4298.98749999999
A0A0G2JSR0	-4232.325
F1M9V7	-4189.425
A0A8I6AJ28	4181.48750000002
F1M3W5	-4161.275
P14408	4136.7125
Q63754	4109.0375
P45592	4104.8125
P50137	4058.2125
A0A8I6GF99	-4003.8875
A0A8I6G4G4	-3902.3875
P63018	-3854.575
A0A8I6A0L7	-3709.28750000001
A0A8L2QSH6	-3686.87500000001
P04636	3672.23749999998
P46462	3619.74999999999
P16617	3615.35000000001
A0A8L2QEN5	3615.17500000005
P19527	3606.24999999999
A0A0H2UHE1	3606.1
P68035	-3555.5125
P50398	-3537.23750000001
P04904	3484.0625
A0A8I6AP08	-3483.42499999999
A0A8I6A2Y7	3479.825
P32551	3429.91249999999
P09117	3429.6375
P62762	-3401.625
Q9WTT6	-3312.0375
B2RZD6	-3285
P12785	-3248.1375
P84245	3225.66249999999
