"";"C1";"C2";"C3";"C4";"C5";"C6";"C7";"C8";"HA1";"HA2";"HA3";"HA4";"HA5";"HA6";"HA7";"HA8"
"A0A8I5XWQ1";88,4;65,1;66,5;91,8;103,6;76;95,7;161,7;414,5;709,3;733,1;831,9;607,6;752,7;591,6;412,2
"Q6MFY6";166,7;150,8;163,1;155,2;175,9;158,2;163,4;209,4;322,9;883,5;798,8;911,5;637,2;782,7;588,7;407,2
"P35171";1496,1;1794,8;1932;1850,7;1734,5;2134,3;2162,1;1368,2;943,9;639,9;658;662,6;751,8;674;735,6;930,3
"M0R660";4257,2;4560;5187,6;4555,7;4222,1;5385;4310;3095,8;2200,8;1658,4;1720,3;1607,2;1855,3;1692,1;2068;2184,1
"P23978";955,3;879,3;882,8;1009,2;975,4;880,8;980,2;1311,9;1888,1;2452,2;2867,5;2675,5;2516,5;2477,2;2559,7;2192,6
"P63170";1366,9;1550;1813,2;1422;1440,5;1775,6;1472,1;1030;759,9;589,2;615,8;594,8;707,2;613,8;573,9;747,2
"A0A0G2JYY6";858;738,1;678,6;746,1;817,8;676,2;746;1072,6;1446,1;1778;1705,1;1891,5;1856,9;1794,8;1736,2;1351,8
"D3Z940";18,1;20,1;15,3;11,8;13,5;17;15,7;24,6;28,4;55,7;43,5;51,1;52,1;45,7;67,9;33
"A0A8I5Y7N4";13,2;13,1;11,2;16;15,8;14,3;12,5;26,4;37,7;43,5;40,7;46,2;35,4;47,5;39,6;29,3
"D3ZE04";441;290,3;200,2;346,8;335,5;264,4;334,5;494,2;721,7;974;982,6;906,5;896,9;881,6;761,3;833,2
"F7F888";609,1;528,6;519,3;595,1;576;485,3;569;773,2;1052,1;1468,5;1408,3;1628;1258,2;1383,4;958,3;986,8
"A0A8W1B2M1";581,6;664,7;746,3;622,8;621;705,9;663;450,4;336,4;241,4;229,8;228,9;276,3;230,1;288,3;316,3
"G3V9C7";1599,7;1111,8;1126,8;1269,2;1097,9;1090,6;1095,8;1413,7;1856;3248;2277,5;2111,5;2218,3;2091,5;2286;2961,2
"A0A8I6A304";1160;1045,6;1372,3;1110,6;1134,7;1311,1;1097,4;978,1;565,6;473,3;456,9;443,2;539,6;524;607,2;859,6
"Q8VHX0";514,9;436;380,1;440,9;505,2;367,1;404,6;579,2;699,5;962,4;1090,8;962,6;987,8;999,5;821,9;784,3
"D3ZAI6";9365,8;10468,1;11367,5;10657,9;10836,2;12362;11425,8;9282,7;7229;5825,4;5849,8;6029,9;6529,9;6195,7;5530,3;6793
"A0A8I5ZYJ8";50;72,3;75,2;63,6;65,7;68,3;69,6;56,4;30,9;20,8;18,6;24,7;24;24,7;27,5;28,2
"P62762";8879,1;9249,2;9421,7;8195,4;8364,2;9059,2;8588,3;6936,5;5328;4797,4;4871,3;5108,4;5077,1;5072,2;5494;5732,2
"B2RZD6";7821,6;8523;7849,8;8670,6;8091,8;8303;8573,5;6842,8;5550,7;4134;4211,2;4284,4;5162,1;4622,6;5040;5391,1
"P97534";1499,8;1305,9;1196,8;1365;1409,6;1341,4;1382,3;1747,9;2081;2656,3;2501,5;2704,4;2442,6;2528,2;2508,3;2040,3
"A0MV40";284,9;280,5;306,3;248,2;250,6;306;289,3;197,3;120,7;86,8;103,7;94,8;120,2;81,4;125,7;146,9
"P62329";519,4;726,5;702;773;842,5;752,6;701,4;696,1;454,5;333,8;130,1;300,4;371,6;410;325;313,6
"Q68G48";1000,5;1106,8;1215,9;1123;1065,7;1290,6;1114,6;887;721,9;494,9;561,3;480;592,2;499,7;634,8;678,2
"P15865";1855,7;1759;1536,2;1752;1766,4;1421,8;1657,1;2139,6;3177,9;3220,3;3279,8;3191,5;2844,8;3156,5;3092,7;2735,6
"P53534";1742,6;1510,6;1415,6;1580,3;1608,8;1393,4;1614,1;2084,1;2379,7;2951,8;2776,9;2909,2;2923,5;3067,3;2681,2;2572,6
"D3ZYT2";738,1;683,1;602,5;665,1;662,7;709,1;717,1;854,2;1077,3;1496,2;1421,3;1421,9;1338,8;1364,1;1115,2;1199,5
"A0A8L2R1R3";2180;2387,7;1927;2300,6;2208,8;1970,8;1727,3;2195,7;1521,1;1174,4;883,3;1012,1;1363;1290,5;1354;1206,3
"A0A8I6A497";1111,6;1071,7;1025,2;1146,4;1120,2;1014,4;1115,1;1356,2;1766,4;2312,2;2017,6;2285,4;1940,9;2065,8;2207,9;1760,5
"A0A0G2JTH4";4961,9;5123,6;5271,1;5178,7;5021,2;5253,5;5145;4340,2;3770,2;2839,2;2922,9;2871,4;3188,6;2897,5;3359,6;3517,3
"Q6IN14";690,4;904,6;1108,8;992,7;996,2;936,4;950,9;760,1;639,4;424,1;460,7;520,4;457,8;522,7;375,9;524,1
"P51907";642,1;625,6;735,9;698,4;600,5;760,4;684,4;507,2;400,4;268,5;312,2;282,8;340,3;277,3;309,6;411,8
"A0A0G2K716";212,3;196,9;189,4;188,3;188;191,7;174,7;242,3;325,8;538,5;499,2;504,3;449,1;464;370,7;338,8
"Q812E9";4993,4;5444,8;5844,1;5060,7;5105,7;5679,5;5016,5;3859,3;3299,6;2915,2;2938,6;2937;3156,8;2916,9;3297,4;3311,7
"B2RYX1";1880,7;2099,4;1902,2;2092,9;1901,3;2154,6;2197,1;1642,9;1329,5;1027,7;948,6;991,8;1150,5;1114,8;1173;1263,6
"P07825";12958,7;13281,5;13889,5;13389,6;13254,3;14498,4;13862,7;11487;9460,2;7744,7;7919,5;7721,8;8658,2;7808,9;8292,5;9494,3
"A0A8I5ZK40";1626,9;1731,4;1995;1757,1;1633,5;1806,9;1942,5;1502,6;1148,4;951,4;1030,6;990,1;1091,9;974,4;971,6;1140,2
"P07340";24978,8;25539,2;27354,4;26317,7;26099,5;27788,9;26218,9;21921,4;18511,9;14700,2;15068,7;15406,9;16515,7;15562,3;16836,9;18171,7
"P62845";1700,2;2213,3;2189,6;2070,5;2225,5;1923;2169,3;1900,6;1562,8;1048,3;1122,9;1172,3;1260,7;1237,6;1351,5;1379,2
"P63074";1028,8;1286,8;1232,9;1198,4;1267,9;1179,3;1230,3;1070;886,6;608;617,9;655;687,9;670,3;707,4;753,4
"Q9Z1B2";5168,2;6741,4;6168,5;5567,7;5729,4;6314,2;5402,4;5012,4;4213,8;3312,3;3363;3157,9;3577,6;3271,6;3671,9;3776,1
"G3V8Y9";228,8;194,2;275,6;230,2;214,3;276;230,2;163;122,5;99,3;76,2;83,1;135;99;62,6;132,7
"Q8VH49";543,2;558,3;486,9;543,8;573,8;507,5;559,5;647,1;883,1;1056,9;1087,5;1056,5;1076;1087,9;1036,3;940,7
"A0A0G2JSU4";180,8;197,3;216,5;197,4;165,5;241,2;198,2;149,6;111,7;81,8;78,7;66,1;88,8;72,9;111,1;101,7
"P68035";8731,8;11102,7;10718,4;8687,9;9045,9;10476,8;9440,7;7614,8;6419,9;5561,3;5730,5;5300;5836,5;5454,9;6590,1;6481,7
"A0A8I5Y830";328,7;284,9;265,8;297,8;319,9;299,7;295;378,6;505,2;698,7;642,8;627,3;629;663,7;636,9;565
"A0A8I6G540";1265,9;1391,1;1381;1361,1;1377,3;1277,2;1423,2;1181,6;888,9;636,6;698,9;677,1;806;775,9;776,8;788,2
"D4A4P1";434;515,5;644,9;561,4;566,4;584,8;548,3;482,1;346,6;231,4;220,8;259,7;271,2;297,6;228,9;285,1
"A0A8I5ZT81";971,4;1174,9;1215,6;1074,6;1099,8;1195;1202,9;890,3;687,9;633,8;614,8;675,8;654,3;687,8;596,3;649,2
"Q9EPH7";320;342,9;384,4;350,6;316,4;361,6;342,9;265,7;185,4;155,1;158,2;158,6;155,2;163,5;206,5;188,7
"M0R8C5";286,4;340,2;380,3;319,3;331,6;336,9;327,9;259;192,3;143,7;155,9;154;155,5;153;175,6;168,2
"A0A8L2R247";283,4;322,7;385,2;308,2;283,7;374,5;310,3;218,4;171,4;137,2;138,3;147,9;140,8;141,7;187,3;144,2
"A0A8I6AWX2";381,6;332,5;306,2;354,5;333,1;333,4;323,7;400,4;505,4;827,9;726,5;716,3;630,6;699,7;644,6;528,7
"P62898";4784,2;4541,5;8594,4;5981,5;5869,4;6823,5;6739,1;5184;4737,8;3065,2;3394,3;4584;4367,4;3745,3;3769,5;3479,3
"D4AEC0";1169;1189,9;1216,1;1111,4;1206,6;1160,8;1167,2;1272,5;1691,4;2203,3;2262,7;2288,4;1914,2;2136,1;1860;1704,7
"P35332";1530,8;1701,6;1660,9;1461,7;1583,5;1647,2;1597,1;1225,1;932,6;887,3;967,5;897,5;1020,2;912,8;1046,5;1088,4
"A0A8L2UNA3";6052,8;6391;7070,2;6435,8;6554,9;6710,3;6692;5744,2;4696;3896,8;4063,4;3999;4196,2;4136,2;4196,7;4533,7
"D3ZG43";6524,6;7014,6;7060,2;6725,4;6582,3;7187,4;6852,7;5829,4;4849,1;4046,1;4074,5;4169,7;4451,6;4305,5;4712,8;4835,6
"P0DP31";35685,2;38423,7;41125,7;11401,7;12655,5;45116,3;35331,1;13608,4;9902,8;21237,1;21974,5;22416,8;23777,8;23857,7;23520,1;25818,1
"A0A8I5ZS76";4325,1;4129,7;3954,9;4268,4;4264,3;4081,5;4123,6;4932,8;5595,4;6694,9;6530,2;6734,1;6472,6;6639,7;6428,9;5784,8
"A0A8I6GIN2";755,4;872,5;912;811,7;814,3;880,1;819,6;671;538,6;450,7;450,1;410,1;466,5;426;478,9;525,4
"F1LUG5";738;410,6;573,2;560;389,7;604,5;474,6;447,5;222,7;320,8;200,2;176,3;263,3;251,6;282;533,6
"P61206";6183,5;7002;7959,5;6900,1;7219,1;7809,4;6870,4;5627,7;4889,9;4369,8;4436,2;4453,1;4593,9;4507,3;4529,5;4622,6
"Q78P75";4197,7;4142,7;4171;4187,6;4037,1;4415,5;4025,9;3374,4;3065;2477,8;2547,7;2511,6;2739,8;2593,4;2635,2;2984,1
"P07483";4470;4096;3623,3;4604,9;4271,5;3894,9;4510,4;4185,4;3411,8;2505,9;2181,5;2383,5;2683,9;2669,8;3820,5;2773,7
"D4A4T6";305,9;332,2;334,1;327,6;350,5;299;344,5;355,1;514,8;974,4;785,4;924,3;579,2;679,1;610,2;547,5
"D3ZGM8";550,4;592,3;611,8;559,9;584,8;622,8;615,3;485,2;367;258,3;284,5;290,2;335,6;290,6;362,9;356,7
"A0A0G2K6F1";2190,7;2285,4;2522,4;2324,8;2247,1;2559,4;2366,6;1967;1569,3;1311,9;1362,5;1337,6;1453,6;1447,8;1492,6;1563,8
"M0R7G2";117,2;92,8;95,9;108,7;119,7;98,8;114,7;172,7;247,4;246,4;218,5;251,3;239,5;225,1;200,7;194,6
"A0A8I6B2G7";774,4;720,2;798,8;794,7;780,5;810,7;821,8;661,1;533,4;429,3;417,4;432,4;480,5;476,9;417,1;597,8
"P63004";8130,3;8919,1;9128,5;8970,2;9021,9;9225,9;8651;7709,5;6953;5499,4;5360,7;5630,7;6016,3;5840,4;6264,3;6227,1
