ID.snp	logFC
ENSRNOG00000023340	14.5
ENSRNOG00000027770	13
ENSRNOG00000048230	12.125
ENSRNOG00000056435	11
ENSRNOG00000024066	10.625
ENSRNOG00000031197	10.375
ENSRNOG00000002079	-9.5
ENSRNOG00000018557	9.25
ENSRNOG00000033700	8.75
ENSRNOG00000018747	8.625
ENSRNOG00000000483	8.375
ENSRNOG00000015903	8.25
ENSRNOG00000016516	-8.25
ENSRNOG00000011268	-8.25
ENSRNOG00000013529	-7.875
ENSRNOG00000039744	7.87499999999999
ENSRNOG00000013391	-7.75
ENSRNOG00000028090	7.625
ENSRNOG00000031479	7.375
ENSRNOG00000000443	7.37499999999999
ENSRNOG00000024071	7.25
ENSRNOG00000023107	-7.125
ENSRNOG00000003491	7
ENSRNOG00000050183	6.87500000000001
ENSRNOG00000004763	6.875
ENSRNOG00000012122	6.875
ENSRNOG00000019832	-6.875
ENSRNOG00000000809	6.625
ENSRNOG00000056098	6.625
ENSRNOG00000054348	6.62499999999999
ENSRNOG00000055382	6.5
ENSRNOG00000006893	-6.5
ENSRNOG00000058490	6.5
ENSRNOG00000055700	6.5
ENSRNOG00000031090	6.375
ENSRNOG00000004589	6.25
ENSRNOG00000000812	6.25
ENSRNOG00000019850	-6.25
ENSRNOG00000051596	6.125
ENSRNOG00000033202	6.125
ENSRNOG00000005840	6.125
ENSRNOG00000028100	6.125
ENSRNOG00000018649	6.125
ENSRNOG00000005479	6
ENSRNOG00000012701	-6
ENSRNOG00000040749	-6
ENSRNOG00000007869	-6
ENSRNOG00000018452	6
ENSRNOG00000001126	-6
ENSRNOG00000011550	-5.875
ENSRNOG00000031721	5.875
ENSRNOG00000019825	-5.875
ENSRNOG00000025423	-5.87499999999999
ENSRNOG00000029386	5.75
ENSRNOG00000014322	5.75
ENSRNOG00000045764	5.75
ENSRNOG00000009862	-5.75
ENSRNOG00000001138	-5.75
ENSRNOG00000005900	5.625
ENSRNOG00000046500	-5.625
ENSRNOG00000017428	5.625
ENSRNOG00000030157	5.625
ENSRNOG00000014182	-5.625
ENSRNOG00000007290	5.625
ENSRNOG00000000517	-5.5
ENSRNOG00000016465	5.5
ENSRNOG00000005530	-5.5
ENSRNOG00000022343	5.5
ENSRNOG00000029001	5.5
ENSRNOG00000001090	5.5
ENSRNOG00000009033	-5.5
ENSRNOG00000030016	5.375
ENSRNOG00000020310	-5.25
ENSRNOG00000016470	-5.25
ENSRNOG00000030515	-5.25
ENSRNOG00000000474	5.25
ENSRNOG00000003841	-5.25
ENSRNOG00000033206	5.24999999999999
ENSRNOG00000000519	-5.125
ENSRNOG00000029336	-5.125
ENSRNOG00000043328	-5.125
ENSRNOG00000010629	5.125
ENSRNOG00000000473	5.125
ENSRNOG00000028097	-5.125
ENSRNOG00000025695	5
ENSRNOG00000027514	-5
ENSRNOG00000013971	4.875
ENSRNOG00000027503	4.875
ENSRNOG00000031896	4.875
ENSRNOG00000020763	-4.875
ENSRNOG00000030712	4.875
ENSRNOG00000029178	-4.875
ENSRNOG00000060293	4.875
ENSRNOG00000024657	4.75
ENSRNOG00000012906	4.75
ENSRNOG00000032625	-4.75
ENSRNOG00000012364	4.75
ENSRNOG00000008447	4.75
ENSRNOG00000011164	4.625
